-0.032662,0.002081,0.000770,0.000409
-0.032599,0.001815,0.000531,-0.000065
-0.032536,-0.003229,-0.003037,-0.003478
-0.032472,-0.005703,-0.004662,-0.004863
-0.032409,-0.001924,-0.000669,-0.000677
-0.032346,0.000934,0.002439,0.002426
-0.032283,-0.001218,0.000453,0.000375
-0.032219,-0.002371,-0.000715,-0.000327
-0.032156,0.000999,0.002090,0.003166
-0.032093,0.003486,0.003309,0.004238
-0.032029,0.000763,-0.000631,-0.000756
-0.031966,-0.003579,-0.005280,-0.006269
-0.031903,-0.003578,-0.004703,-0.005505
-0.031839,-0.000042,-0.000555,-0.000599
-0.031776,0.001069,0.000593,0.000681
-0.031713,-0.000206,-0.000775,-0.001247
-0.031650,0.000956,0.000874,0.000215
-0.031586,0.003171,0.003888,0.003738
-0.031523,0.001941,0.002941,0.003328
-0.031460,-0.001210,-0.000669,-0.000273
-0.031396,-0.001728,-0.001868,-0.001977
-0.031333,0.000544,0.000158,-0.000422
-0.031270,0.000951,0.000854,0.000338
-0.031206,-0.002494,-0.002273,-0.002285
-0.031143,-0.004552,-0.004364,-0.003829
-0.031080,-0.001644,-0.001764,-0.001033
-0.031017,0.001491,0.001120,0.001539
-0.030953,0.000869,0.000654,0.000768
-0.030890,-0.000769,-0.000562,-0.000193
-0.030827,-0.000347,-0.000062,0.000689
-0.030763,0.001065,0.000896,0.001328
-0.030700,0.000718,0.000114,-0.000533
-0.030637,-0.001107,-0.001510,-0.003148
-0.030573,-0.001042,-0.000688,-0.002331
-0.030510,0.000949,0.001817,0.000948
-0.030447,0.001403,0.001999,0.001654
-0.030384,0.000210,0.000190,-0.000249
-0.030320,-0.000398,-0.000683,-0.001250
-0.030257,-0.000525,-0.000708,-0.000804
-0.030194,-0.001040,-0.001264,-0.000292
-0.030130,-0.001469,-0.002208,-0.000340
-0.030067,-0.000590,-0.001994,-0.000173
-0.030004,0.001438,-0.000035,0.000973
-0.029940,0.001644,0.000987,0.001237
-0.029877,-0.001245,-0.000728,-0.000704
-0.029814,-0.003626,-0.002327,-0.002302
-0.029751,-0.002824,-0.001375,-0.001845
